#Source de ce jeu de données : https://coronavirus.politologue.com - Les données proposées dans ce fichier sont une compilation des données proposées par le CSSE (The Johns Hopkins University) https://gisanddata.maps.arcgis.com/apps/opsdashboard/index.html#/bda7594740fd40299423467b48e9ecf6
#Les données de ce fichier sont celles qui sont produites pour générer les graphiques sur https: //coronavirus.politologue.com
#Vous pouvez utiliser ces données sans problème et une référence à https://coronavirus.politologue.com sera appréciable
-----------------------------------------------
#Certains ne respectent pas la demande de ne pas récupérer trop souvent le fichier pour préserver le serveur (cela ne sert à rien de récupérer toutes les 3 min), le fichier présente désormais les 30 derniers jours seulement
#Si vous souhaitez avoir accès à l'ensemble, contactez moi, je n'ai pas le temps de faire la chasse à ceux qui ne respectent pas une certaine éthique, alors je fais en sorte de préserver mes ressources
-----------------------------------------------
Date;Pays;Infections;Deces;Guerisons;TauxDeces;TauxGuerison;TauxInfection
2020-12-16;Macédoine;75597;2194;51493;2.90;68.12;28.98
2020-12-16;Mali;5969;209;3702;3.50;62.02;34.48
2020-12-16;Birmanie;111900;2346;90453;2.10;80.83;17.07
2020-12-16;Mongolie;923;0;384;0.00;41.60;58.40
2020-12-16;Macao;46;0;46;0.00;100.00;0.00
2020-12-16;Martinique;5601;42;98;0.75;1.75;97.50
2020-12-16;Mauritanie;11629;244;8281;2.10;71.21;26.69
2020-12-16;Malte;11415;180;9516;1.58;83.36;15.06
2020-12-16;Maurice;524;10;489;1.91;93.32;4.77
2020-12-16;Maldives;13402;48;12786;0.36;95.40;4.24
2020-12-16;Malawi;6091;187;5661;3.07;92.94;3.99
2020-12-16;Mexique;1277499;115769;945673;9.06;74.03;16.91
2020-12-16;Malaisie;87913;429;72733;0.49;82.73;16.78
2020-12-16;Mozambique;17143;145;15241;0.85;88.91;10.25
2020-12-16;Namibie;17276;164;15196;0.95;87.96;11.09
2020-12-16;Nouvelle-Calédonie;37;0;35;0.00;94.59;5.41
2020-12-16;Niger;2361;82;1329;3.47;56.29;40.24
2020-12-16;Nigéria;75062;1200;66775;1.60;88.96;9.44
2020-12-16;Nicaragua;5938;163;4225;2.75;71.15;26.10
2020-12-16;Pays-Bas;650072;10333;8152;1.59;1.25;97.16
2020-12-16;Norvège;42312;402;17998;0.95;42.54;56.51
2020-12-16;Népal;250916;1743;238569;0.69;95.08;4.23
2020-12-16;Nouvelle-Zélande;2100;25;2032;1.19;96.76;2.05
2020-12-16;Oman;126835;1480;118736;1.17;93.61;5.22
2020-12-16;Panama;199947;3439;166600;1.72;83.32;14.96
2020-12-16;Pérou;986130;36754;924120;3.73;93.71;2.56
2020-12-16;Polynésie Française;15974;98;4842;0.61;30.31;69.07
2020-12-16;Papouasie-Nouvelle-Guinée;729;8;601;1.10;82.44;16.46
